"MachineRPM [rpm]","Time [ms]","Moving1.Torque [mNewtonMeter]"
100,300,-202.071351340617
100,301.5625,-212.575263840141
100,303.125,-173.242208254875
100,304.6875,-223.921497680073
100,306.25,-197.178622302912
100,307.8125,-186.349897881487
100,309.375,-232.980440137001
100,310.9375,-180.181873770181
100,312.5,-210.896922697853
100,314.0625,-226.238547735443
100,315.625,-179.711507707777
100,317.1875,-220.985390068717
100,318.75,-211.632576769238
100,320.3125,-190.780974969239
100,321.875,-236.289190522379
100,323.4375,-184.341952414951
100,325,-209.001405166039
100,326.5625,-232.166693485674
100,328.125,-177.369110488084
100,329.6875,-225.531925042788
100,331.25,-200.492903553969
100,332.812500000001,-195.628708381963
100,334.375000000001,-231.07265321639
100,335.937500000001,-174.041600112156
100,337.500000000001,-205.644587613913
100,339.062500000001,-228.721050462791
100,340.625000000001,-170.776996136917
100,342.187500000001,-222.354261497621
100,343.750000000001,-186.50923415231
100,345.312500000001,-192.498207556429
100,346.875000000001,-230.601329974692
100,348.437500000001,-166.061077380829
100,350.000000000001,-201.746114271321
100,351.562500000001,-218.183212902132
100,353.125000000001,-160.858257927209
100,354.687500000001,-202.976861437508
100,356.250000000001,-198.75983739336
100,357.812500000001,-159.279139991288
100,359.375000000001,-224.92107628892
100,360.937500000001,-162.315587950444
100,362.500000000001,-184.215304639156
100,364.062500000001,-222.700181973214
100,365.625000000001,-160.122753896949
100,367.187500000001,-223.704562277201
100,368.750000000001,-190.410939377059
100,370.312500000001,-182.690738709265
100,371.875000000001,-234.990765197978
100,373.437500000001,-163.753382050071
100,375.000000000001,-202.500407341001
100,376.562500000001,-203.647364069417
100,378.125000000001,-165.126797304913
100,379.687500000001,-217.769383229976
100,381.250000000001,-190.641474109038
100,382.812500000001,-185.56464151735
100,384.375000000001,-226.993853029186
100,385.937500000001,-176.358358834722
100,387.500000000001,-205.186098706684
100,389.062500000001,-220.482244591367
100,390.625000000001,-175.550258771601
100,392.187500000001,-213.55090406245
100,393.750000000001,-205.618903331658
100,395.312500000001,-185.299598362906
100,396.875000000001,-231.504723557196
100,398.437500000001,-180.005437641129
100,400.000000000001,-206.600663590253
100,401.562500000001,-229.977556665365
100,403.125000000002,-171.525887197698
100,404.687500000002,-217.653678780692
100,406.250000000002,-192.13207231154
100,407.812500000002,-186.820343192634
100,409.375000000002,-226.776534194828
100,410.937500000002,-167.196897066302
100,412.500000000002,-201.74196351613
100,414.062500000002,-227.075193791703
100,415.625000000002,-174.608443049588
100,417.187500000002,-224.178368748569
100,418.750000000002,-189.507558561023
100,420.312500000002,-197.808729563248
100,421.875000000002,-237.905533860499
100,423.437500000002,-172.323007875509
100,425.000000000002,-206.724946926451
100,426.562500000002,-223.951093881405
100,428.125000000002,-160.595923934648
100,429.687500000002,-205.584532767526
100,431.250000000002,-204.345433495792
100,432.812500000002,-162.876303434723
100,434.375000000002,-228.112576187632
100,435.937500000002,-163.887044272977
100,437.500000000002,-192.203627121348
100,439.062500000002,-226.61297266613
100,440.625000000002,-161.455274701579
100,442.187500000002,-224.634729262388
100,443.750000000002,-187.532628964777
100,445.312500000002,-180.797123439615
100,446.875000000002,-236.692769094969
100,448.437500000002,-167.233297731463
100,450,-202.126424072701
