"Time [ms]","Moving1.Torque [mNewtonMeter]"
3,-866.335525998421
3.015625,-873.659061171667
3.03125,-833.866927290664
3.046875,-884.872941093682
3.0625,-854.136720928843
3.078125,-845.021336170287
3.09375,-890.439051783708
3.109375,-832.995294353049
3.125,-863.023718695336
3.140625,-880.511369227877
3.15625,-831.656610289354
3.171875,-873.271294625262
3.1875,-861.485224845422
3.203125,-839.697629839682
3.21875,-884.790257541111
3.234375,-832.014819280812
3.25,-856.075573988892
3.265625,-878.170760777324
3.28125,-817.666825503021
3.296875,-869.589703198378
3.3125,-841.795704195776
3.328125,-833.543252134548
3.34375,-870.294682838185
3.359375,-813.321144760705
3.375,-844.547593001552
3.390625,-868.527996669846
3.40625,-812.367874909067
3.421875,-864.044683323308
3.4375,-828.979748324752
3.453125,-833.965586897387
3.46875,-872.717393251788
3.484375,-806.828586201357
3.5,-842.540813660411
3.515625,-859.94977069856
3.53125,-800.883096333486
3.546875,-847.809254060496
3.5625,-841.858714849179
3.578125,-804.413635807198
3.59375,-869.394709634614
3.609375,-803.748820563894
3.625,-827.070191588188
3.640625,-865.954702398027
3.65625,-800.433179349533
3.671875,-864.143163892151
3.6875,-826.624512436329
3.703125,-822.890145697504
3.71875,-874.099817533753
3.734375,-804.453550873412
3.75,-842.193056547466
3.765625,-851.034337113702
3.78125,-812.65169068511
3.796875,-864.61198943122
3.8125,-835.150832122126
3.828125,-827.52242857423
3.84375,-874.323725108474
3.859375,-818.73751828046
3.875,-850.671808949615
3.890625,-869.103175119563
3.90625,-821.88880821529
3.921875,-865.052086363254
3.9375,-855.409955601985
3.953125,-835.84535047036
3.96875,-882.946949036556
3.984375,-831.527064382213
4,-857.548024324355
4.015625,-881.856966276821
4.03125,-823.464830046103
4.046875,-876.501922344542
4.0625,-849.756034812243
4.078125,-844.101278469573
4.09375,-882.467682523667
4.109375,-827.03734272805
4.125,-860.660628675259
4.140625,-886.686379225281
4.15625,-832.33043749525
4.171875,-885.759772602622
4.1875,-850.986584523382
4.203125,-857.812144748768
4.21875,-897.994873093025
4.234375,-832.687434906664
4.25,-868.631557189409
4.265625,-886.323298437312
4.28125,-827.025301250783
4.296875,-873.019275554313
4.3125,-868.417713995392
4.328125,-830.392756416468
4.34375,-893.02702205256
4.359375,-828.55974826073
4.375,-852.605119254626
4.390625,-889.92961462109
4.40625,-823.962667676626
4.421875,-887.326557113229
4.4375,-848.716647367878
4.453125,-843.563213937732
4.46875,-894.657485767828
4.484375,-825.117543551638
4.5,-863.147557160505
